,Date,State,Dead,Injured,Total,Description,Month,Year,WeekDay,WeekOfYear,YearWeek
1099,2019-05-17,California,1,4,5,"A woman and three others, including a 4-year-old boy were wounded in what police presume was a targeted shooting. One of the victims later died from their injuries.",5,2019,4,20,2019 - 20
1100,2020-05-17,South Carolina,4,1,5,A mother and her 15 and 12-year-old daughters were shot and killed by her husband who wounded another daughter before killing himself in a murder-suicide. Another daughter was uninjured and ran for help.,5,2020,6,20,2020 - 20
1101,2020-05-17,Maryland,1,3,4,Police responded to a suspected shooting and found an 18-year-old dead on the sidewalk. Three injured victims were identified later.,5,2020,6,20,2020 - 20
1102,2020-05-17,South Carolina,0,4,4,Three people were wounded when an individual opened fire at a party that was hosted at a short term rental. A fourth wounded individual was walking her dog near the home.,5,2020,6,20,2020 - 20
1103,2021-05-17,Oregon,0,4,4,Four people were shot on Swan Island in an incident that is described by law enforcement as gang-related.,5,2021,0,20,2021 - 20
1104,2018-06-17,New Jersey,1,22,23,Art All Night shooting: Multiple gunmen wounded 17 people at the Art All Night festival. Five others were wounded when they were trampled by people around them. One of the suspected gunmen was shot and killed by police. Police suspect the shooting was gang-related.,6,2018,6,24,2018 - 24
1105,2018-06-17,North Carolina,0,4,4,Four people were injured in a shooting at a gas station.,6,2018,6,24,2018 - 24
1106,2018-06-17,Georgia,1,3,4,A teenager was killed and three other people were injured in a drive-by shooting during a cookout. A 15-year-old was later charged with the killing.,6,2018,6,24,2018 - 24
1107,2018-06-17,Illinois,0,4,4,A gunman walked up to and wounded four people standing on the street.,6,2018,6,24,2018 - 24
1108,2019-06-17,Texas,1,1,2,2019 Dallas courthouse shooting: One person was superficially injured and the perpetrator was killed in a shooting next to the Earle Cabell Federal Building.,6,2019,0,25,2019 - 25
1109,2019-06-17,Texas,0,4,4,"Four people were injured from gunfire, after getting into an altercation with another motorist.",6,2019,0,25,2019 - 25
1110,2019-06-17,Tennessee,0,5,5,Five people were wounded in the parking lot of an apartment complex.,6,2019,0,25,2019 - 25
